127.0.0.1 - - [30/Jan/2021:00:31:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:31:47 +0900] "GET /08_GuestBook/guestbook/list.jsp HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:31:47 +0900] "GET /08_GuestBook/css/guestbook.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:35:46 +0900] "GET /08_GuestBook/guestbook/onelist.jsp?idx=1 HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:44:50 +0900] "GET /08_GuestBook/guestbook/write.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:45:44 +0900] "GET /08_GuestBook/guestbook/write.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:49:05 +0900] "GET /08_GuestBook/guestbook/write.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:49:11 +0900] "GET /08_GuestBook/guestbook/onelist.jsp?idx=1 HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:53:23 +0900] "GET /08_GuestBook/guestbook/write.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:53:27 +0900] "GET /08_GuestBook/guestbook/list.jsp HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:53:28 +0900] "GET /08_GuestBook/guestbook/write.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:53:28 +0900] "GET /08_GuestBook/guestbook/list.jsp HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:58:34 +0900] "GET /08_GuestBook/guestbook/write.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:59:19 +0900] "GET /08_GuestBook/guestbook/onelist.jsp?idx=2 HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:59:22 +0900] "POST /08_GuestBook/guestbook/update.jsp HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:59:25 +0900] "POST /08_GuestBook/guestbook/update_ok.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:59:27 +0900] "GET /08_GuestBook/guestbook/onelist.jsp?idx=2 HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:59:31 +0900] "POST /08_GuestBook/guestbook/delete.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [30/Jan/2021:00:59:47 +0900] "GET /08_GuestBook/guestbook/onelist.jsp?idx=3 HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [30/Jan/2021:01:08:51 +0900] "GET /08_GuestBook/guestbook/onelist.jsp?idx=2 HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [30/Jan/2021:01:26:23 +0900] "POST /08_GuestBook/guestbook/update.jsp HTTP/1.1" 200 2091
